Program Time [s],data 0
34.0575,9.77555
34.0695,9.78992
34.0815,9.78992
34.0935,9.77076
34.1055,9.82585
34.1175,9.8019
34.1295,9.81627
34.1415,9.83064
34.1535,9.77795
34.1655,9.87854
34.1775,9.83304
34.1895,9.82585
34.2015,9.85219
34.2135,9.81866
34.2255,9.76837
34.2375,9.82585
34.2495,9.80669
34.2615,9.80429
34.2735,9.84501
34.2855,9.84261
34.2975,9.83543
34.3095,9.80908
34.3215,9.74442
34.3335,9.7995
34.3455,9.80429
34.3575,9.83543
34.3695,9.77795
34.3815,9.81148
34.3935,9.77795
34.4055,9.82824
34.4175,9.85938
34.4295,9.80429
34.4416,9.80908
34.4535,9.77076
34.4655,9.86177
34.4776,9.75879
34.4896,9.83064
34.5015,9.80429
34.5135,9.8019
34.5255,9.8019
34.5375,9.83304
34.5495,9.81387
34.5615,9.74921
34.5735,9.76837
34.5855,9.85219
34.5975,9.75879
34.6095,9.83304
34.6216,9.84501
34.6336,9.82106
34.6456,9.78992
34.6576,9.77316
34.6695,9.80908
34.6815,9.76837
34.6935,9.76837
34.7055,9.84022
34.7175,9.81148
34.7295,9.82585
34.7415,9.81866
34.7537,9.79471
34.7655,9.80908
34.7775,9.76358
34.7895,9.80669
34.8015,9.81627
34.8135,9.8019
34.8255,9.79232
34.8375,9.82824
34.8495,9.83543
34.8615,9.79471
34.8735,9.80908
34.8855,9.73963
34.8975,9.86417
34.9095,9.78034
34.9215,9.69891
34.9335,9.87135
34.9455,9.82106
34.9575,9.82345
34.9695,9.79471
34.9815,9.84261
34.9935,9.83304
35.0055,9.83782
35.0175,9.74442
35.0296,9.88093
35.0416,9.80908
35.0535,9.83304
35.0655,9.82106
35.0776,9.81866
35.0895,9.73244
35.1015,9.79711
35.1135,9.8019
35.1255,9.78274
35.1375,9.8474
35.1495,9.82585
35.1615,9.88333
35.1735,9.78274
35.1855,9.83543
35.1975,9.85219
35.2095,9.78753
35.2215,9.8019
35.2335,9.83782
35.2455,9.77795
35.2576,9.80429
35.2695,9.79471
35.2815,9.78274
35.2935,9.79232
35.3055,9.85459
35.3175,9.81387
35.3295,9.81148
35.3415,9.81148
35.3535,9.78274
35.3655,9.82106
35.3775,9.80429
35.3895,9.87614
35.4015,9.78992
35.4135,9.79471
35.4255,9.83064
35.4375,9.80669
35.4495,9.82106
35.4615,9.77076
35.4735,9.75879
35.4855,9.85219
35.4975,9.78034
35.5095,9.80669
35.5215,9.85459
35.5335,9.76358
35.5455,9.85459
35.5575,9.81387
35.5695,9.85219
35.5815,9.78753
35.5935,9.83543
35.6055,9.754
35.6175,9.80429
35.6295,9.71807
35.6415,9.80669
35.6535,9.76118
35.6655,9.77076
35.6775,9.81387
35.6895,9.86896
35.7015,9.83304
35.7135,9.74921
35.7255,9.81387
35.7375,9.81627
35.7495,9.80908
35.7615,9.8019
35.7735,9.83782
35.7855,9.84022
35.7975,9.7995
35.8095,9.754
35.8215,9.85698
35.8335,9.8019
35.8455,9.80669
35.8575,9.87135
35.8695,9.85459
35.8815,9.7995
35.8935,9.82824
35.9055,9.75639
35.9175,9.80908
35.9295,9.84261
35.9415,9.76118
35.9536,9.85698
35.9656,9.80429
35.9775,9.85219
35.9895,9.80429
36.0015,9.85938
36.0135,9.78513
36.0255,9.82824
36.0375,9.80908
36.0495,9.82824
36.0615,9.81627
36.0736,9.80908
36.0855,9.80429
36.0975,9.80429
36.1095,9.7995
36.1215,9.77316
36.1335,9.82824
36.1455,9.85459
36.1575,9.7995
36.1696,9.83543
36.1815,9.80669
36.1935,9.75879
36.2055,9.78513
36.2175,9.85459
36.2295,9.77076
36.2415,9.85938
36.2535,9.8474
36.2655,9.77316
36.2775,9.80908
36.2895,9.81866
36.3015,9.7995
36.3135,9.7995
36.3255,9.79471
36.3375,9.86656
36.3495,9.75639
36.3615,9.84501
36.3735,9.79471
36.3855,9.85698
36.3975,9.77795
36.4095,9.81387
36.4215,9.83304
36.4335,9.76837
36.4455,9.81866
36.4575,9.86417
36.4695,9.81627
36.4815,9.80908
